Artist,Album,Genres
Curren$y,The Marina,"urban, summer, drugs, male vocals, sampling, hedonistic, cloud rap, hip-hop, rap, dirty south"
Julie Doiron,You Gave Me the Key,"female vocalist, singer-songwriter, folk, canadian, indie, lo-fi, indie folk, canada, acoustic, songwriter"
BADBADNOTGOOD,I Don't Know,"jazz, experimental, hip-hop, instrumental hip-hop, avant-garde, jazz fusion, instrumental, canadian, nu jazz, hip hop"
Gang of Youths,angel in realtime.,"indie rock, australian, rock, indie, australia, alternative, alternative rock, indie pop, male vocalists"
Lo Moon,Dream Never Dies,"electronic, indie, alternative rock, alternative, indie pop, indie rock, pop, usa, synth pop, american"
Admiral Fallow,The Idea of You,"folk, scottish, indie, acoustic, british, indie folk, scotland, indie rock, folk-rock, glasgow"
Mac Miller,Faces,"jazz rap, abstract hip hop, cloud rap, hip hop, rap, pop rap, underground hip-hop, pittsburgh, underground rap"
Cordae,Gifted (feat. Roddy Ricch),"rap, trap, hip-hop, jazz rap, hip hop, american, southern hip hop, north carolina, pop rap, conscious hip hop"
MØ,Motordrome,"electropop, pop, álbuns ✅, female vocalist, indie pop, danish"
Clem Snide,The Ghost of Fashion,"indie, american, favorite albums, alt-country, indie rock, alternative, rock"
illuminati hotties,Let Me Do One More,"female vocalist, indie rock, power pop"
Method Man,Blackout!,"hip-hop, best album, rap, wu-tang, hip hop"
Far Caspian,Ways To Get Out,"dream pop, indie pop, indie"
CHERYM,Kisses On My Cards,"female vocalist, pop punk, punk rock, northern ireland, punk, indie rock, power pop, pop rock, irish, powerpop"
Mini Trees,Always In Motion,"female vocalist, dream pop, indie pop"
Far Caspian,Attempt,"dream pop, indie pop, indie, lo-fi, british, alternative, indie rock, jangle pop, england, lofi"
Wave Chapelle,Home Game,"trap, hip-hop, rap, hiphop"
David Byrne,Who Has Seen the Wind?,"alternative, new wave, singer-songwriter, rock, indie, experimental, alternative rock, pop, post-punk"
Lea Michele,Forever,"female vocalist, glee, pop, broadway, musical, spring awakening, lea michele, soundtrack, glee cast, american"
Cordae,From a Birds Eye View,"hip-hop, rap, trap, jazz rap"
Phoebe Bridgers,That Funny Feeling,"digital, own, female vocalist, singer-songwriter, folk"
Sleigh Bells,Treats,"noise pop, electronic, indie, lo-fi, female vocalist, alternative, hip-hop"
Lunar Vacation,Mold,"female vocalist, dream pop, indie pop, indie, usa, american, atlanta, rock, alternative"
Marika Hackman,Driving Under Stars,"female vocalist, singer-songwriter, british, indie, folk, pop, alternative, indie rock, england, indie pop"
The Backseat Lovers,When We Were Friends,"indie rock, rock, alternative, alternative rock, indie pop, garage rock, folk, usa, american, indie folk"
JAY-Z,Reasonable Doubt,"hip-hop, rap, classic, mafioso rap, east coast rap, favourite albums, rnb"
RÜFÜS DU SOL,Surrender,"electronic, house, australian, dance, alternative dance, deep house, indie pop, synthpop, electro, indie"
Pastor T.L. Barrett and the Youth for Christ Choir,Like a Ship (Without a Sail),"gospel, soul"
The Lumineers,BRIGHTSIDE,"saturn in aquarius, folk, indie, folk rock"
Grace Cummings,Storm Queen,"female vocalist, folk, singer-songwriter"
Little Simz,"I Love You, I Hate You","female vocalist, rap, hip-hop, hip hop, grime, rnb, uk hip hop, british, conscious hip hop, uk"
THE GOA EXPRESS,Second Time,"rock, british, alternative, indie rock, uk, england, manchester, indie, garage"
Peach Pit,Up Granville,"math rock, indie pop, indie, indie rock, canadian, alternative rock, instrumental, post-rock, croatia, alternative"
HAIM,Women In Music Pt. III,"soft rock, indie pop, rock, indie rock, pop rock, alt-country, female vocalist, indie, soul"
Born Ruffians,Needle,"indie rock, canadian, indie, alternative, indie pop, rock, alternative rock, toronto, pop, canada"
Tennis,Young & Old,"indie pop, pop-ish, folk, usa, female vocalist, lo-fi, chillwave"
Another Michael,Land,"electronic, usa, lo-fi, bedroom pop, indie, pop, folk, indie pop, indie rock, american"
Christian Leave,Days Like Lost Dogs,"alternative, indie pop, oklahoma, pop, rock, pop rock, dream pop, american, my top songs"
Aaliyah,Are You That Somebody,aaliyah
Clem Snide,Girls Come First,"zahpwee music, alt-country, indie, indie rock"
Fightmilk,Not With That Attitude,"indie rock, indie, indie pop, pop punk, rock, alternative, uk, female vocal, diy"
Kupla,Melody Mountain,"chillout, ambient, lo-fi, electronic, finnish, instrumental hip-hop, chillhop, hip-hop, chill, instrumental"
Shovels & Rope,Manticore,"female vocalist, alt-country, folk, indie, country, acoustic, americana, american, indie folk, all"
cheerbleederz,sometimes i cry at work,"female vocalist, indie rock, indie pop, pop rock, british, alternative, uk, england, female vocal, united kingdom"
Nathaniel Rateliff & The Night Sweats,The Future,"albums, soul, blues rock, rock"
Hurry,It's Dangerous,"indie, lo-fi, everyone everywhere, philadelphia, emo, indie pop, indie rock, twee, american, pop-punk"
Wave Chapelle,Outside,"trap, hip-hop, rap, hiphop"
Brandi Carlile,Right on Time,"female vocalist, singer-songwriter, folk, indie, alt-country, acoustic, rock, american, country, folk rock"
Buck Meek,Candle,"folk, singer-songwriter, indie, usa, indie folk, keeled scales, alternative rock, americana, guitar, american"
Shawn James,Attached,"soul, folk, blues, singer-songwriter, acoustic, american, male vocalists, arkansas, united states"
MAITA,"You Sure Can Kill A Sunday, Part I","female vocalist, indie pop, indie rock, indie, rock, folk, usa, folk rock, indie folk, folk pop"
Le Ren,Leftovers,"indie pop, indie rock, dream pop"
Valerie June,The Moon And Stars: Prescriptions For Dreamers,"folk, blues"
Mick Jenkins,Truffles,"hip-hop, rap, hip hop, underground hip-hop, chicago, cloud rap, jazz rap, american, water, underground hip hop"
Bob Welch,French Kiss,"fleetwood mac, christine mcvie, classic rock, bob welch, stevie nicks, danny kirwan, rock, soft rock, amsterdam"
WebsterX,HUFFY,"hip hop, rap, milwaukee, hip-hop, wisconsin, vice, conscious rap, closed sessions"
Phantogram,Mouthful Of Diamonds,"female vocalist, trip-hop, electronic, indie, experimental, new york, american, indie pop, alternative, indietronica"
Cold War Kids,New Age Norms 3,"indie, indie rock, alternative, rock, american, alternative rock, california, blues rock, blues"
Julie Doiron,I Thought of You,"singer-songwriter, alt-country, indie folk"
Taylor Swift,Red (Taylor's Version),"female vocalist, country, pop, singer-songwriter, acoustic, taylor swift, country pop, american, folk, pop rock"
ill peach,GUM,"female vocalist, pop, indie pop, usa, american, american pop"
Noah Gundersen,A Pillar of Salt,"folk, acoustic, indie, american, singer-songwriter, indie folk, solo, washington, male vocalists, usa"
NewDad,Banshee,"indie, shoegaze, post punk, dream pop"
Lil Nas X,MONTERO,"hip-hop, pop, rap, rnb, trap, country rap, hip hop"
William Prince,Reliever,"country, canada, underrated, native american, winnipeg"
Captain Handsome,I Am Not an Animal,"indie, indie pop, indiepop"
Swelo,two o'clock,"indie, funk, electronic, hip-hop, alternative, rap, indie pop, dance, new orleans, dope"
Nation of Language,Across That Fine Line,"synthpop, post-punk, new wave, electronic, crank wave, usa, indie pop, synth pop, male vocalists, minimal wave"
Swelo,i'm the same age i was last year.,"indie, funk, electronic, hip-hop, alternative, rap, indie pop, dance, new orleans, dope"
Self Esteem,Prioritise Pleasure,"electropop, pop, indie pop, new, hype, medium, female vocalist, british, hardcore"
Robert Glasper,"Black Superhero [Feat. Killer Mike, BJ The Chicago Kid & Big K.R.I.T.]","jazz, piano, jazz piano, fusion, piano jazz, contemporary jazz, hip-hop, jazz fusion, post-bop, soul"
Bright Eyes,"I'm Wide Awake, It's Morning","indie, folk, favourite albums, favorite albums, singer-songwriter"
Phosphorescent,Muchacho,"americana, indie folk, favourite albums, indie pop, indie rock, singer-songwriter, psychedelic pop, indie"
Courtney Barnett,Need A Little Time,"female vocalist, singer-songwriter, folk, indie, australian, indie folk, indie rock, rock, alternative, alternative rock"
Little Green Cars,The John Wayne,"indie, folk, glassnote records"
Scary Pockets,Sunset Strip,"funk, usa, american, los angeles, america, mixtaperoom, jazz playlist king"
Nana Grizol,Ruth,"favorite albums, folk punk"
Patrick Paige II,So They Say,"rnb, soul, rap, hip-hop, hip hop, usa, bass, los angeles, trap"
Sufjan Stevens,A Beginner's Mind,"folk, indie, indie folk, alternative, singer songwriter, collaboration, chamber folk"
Strand of Oaks,In Heaven,americana
Fuzzysurf,I Don't Dream Anymore,"surf rock, milwaukee, wisconsin"
Arlo Parks,Caroline,"female vocalist, soul, rnb, pop, neo-soul, indie, british, british soul, indie pop, england"
Lala Lala,Siren 042,"female vocalist, indie, lo-fi, dream pop, indie pop, indie rock, usa, chicago, illinois, alternative"
O.T. Genasis,Big Shot (feat. Mustard),"hip-hop, rap, trap, baking soda, meme rap, hip hop, turn up, american, pop rap, atlanta"
Wale,Down South (feat. Yella Beezy & Maxo Kream),"hip-hop, rap, hip hop, dc, go-go, underground hip-hop, wale, american, hipster rap, washington dc"
Duran Duran,MORE JOY! (feat. CHAI),"new wave, pop, synth pop, rock, new romantic, synthpop, british, electronic, duran duran"
Lala Lala,I Want The Door To Open,"indie pop, indie, indie rock, female vocalists, usa, dream pop, american, bedroom pop, alt-pop"
Nat Lefkoff,Heavy Lifting,"united states, my top songs"
Skott,A Letter from the Universe,"female vocalist, pop, electronic"
Happy Accidents,Everything But The Here And Now,"indie, indie rock, jazz, punk, emo, progressive rock, avantgarde, pop punk, canterbury, rock in opposition"
Emily Scott Robinson,American Siren,"country, americana, folk, american, folk rock"
Hurray For The Riff Raff,LIFE ON EARTH,"folk, rock, revolution, singer-songwriter, dreamy, longing, female vocalist, americana, blues"
Waxahatchee,Ivy Tripp,"indie, lo-fi, indie folk, rock, alternative, singer songwriter"
Spector,Catch You On The Way Back In,"british, indie, rock, electronic, indie rock, alternative, psytrance, indie pop, london, pop"
Bedouine,Thirteen,"female vocalist, singer-songwriter, folk, chamber folk, indie, alternative, indie folk, usa, syrian, sexy"
Mick Jenkins,Elephant in the Room,"hip-hop, rap, hip hop"
Vacationer,Gone,"chillout, nu hula, indie, chill-out, downtown records"
Jenny Lewis,The Voyager,"indie, chill, rock, indie pop, new, female vocalist, singer-songwriter, folk"
Madi Diaz,Phantom,"female vocalist, indie, nashville"
alt-J,The Dream,"indie, british, art pop"
Omar Apollo,Ivory,"rnb, indie, pop, soul, indie pop, lo-fi, latin, dream pop, alternative rnb"
Tycho Jones,Tychonaut,"pop, british, uk"
Sofía Valdés,Lonely,"female vocalist, panama, indie pop, pop, folk, singer-songwriter, electropop, indie, bossa nova, alternative"
Madi Diaz,Nervous,"female vocalist, indie, nashville, americana, alt-country, kickasstic, recommended, pay attention, singer-songwriter, folk"
Jack Harlow,Thats What They All Say,"hip-hop, jack harlow"
Cigarettes After Sex,Cigarettes After Sex,"dream pop, slowcore, ambient pop, shoegaze, indie, american, indie pop, pop"
Hurry,Fake Ideas,emo
No-No Boy,The Best God Damn Band in Wyoming,"folk, american, vocal, singer-songwriter, usa, guitar, zither, banjo, lute, koto"
Foals,Antidotes,"math rock, indie, indie rock, british, alternative"
Lauran Hibberd,Bleugh,"female vocalist, indie pop, indie, indie rock, singer-songwriter, british, pop rock, pop, powerpop, folk"
Caroline Rose,Feel The Way I Want,"female vocalist, indie, folk, singer-songwriter, indie pop, usa, indie folk, american, alt-country, pop"
White Lies,I Don't Want To Go To Mars,"interesting title, indie rock, post-punk, british"
Marit Larsen,Under the Surface,"female vocalist, favorite albums, marit larsen, folk, female vocalists, singer-songwriter, acoustic, pop, norwegian, scandinavian"
Steely Dan,Can't Buy A Thrill,"rock, steely dan, classic rock, jazz rock, pop"
Smallpools,Smallpools,"indie pop, indie, pop rock"
Maxo Kream,WEIGHT OF THE WORLD,"trap, hip-hop, houston"
Nas,King's Disease II,"hip hop, rap, nas, aoty, finished"
Oh Wonder,22 Break,"female vocalist, indie, electronic"
Fiona Apple,Love More,"cover, female vocalist, singer-songwriter, alternative"
Andy Bell,World Of Echo,"female vocalist, synthpop, electronic, pop, british, gay, male vocalists, dance, synth pop"
Foxx Bodies,Bad Kid,"garage rock, indie rock, punk rock, garage punk"
Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),"montero, lilnasx, hip-hop, rap, trap"
Sufjan Stevens,Carrie & Lowell,"indie folk, folk, singer-songwriter, indie, chamber folk, alternative, rock, acoustic"
Nick Mulvey,A Prayer Of My Own,"acoustic, singer-songwriter, british, folk, indie folk, indie, pop, african, united kingdom, england"
Tove Styrke,YouYouYou,"female vocalist, pop, swedish, electropop, electronic, sweden, scandinavian, indie, dance, synthpop"
Hellhills,Awkward Motion,"lithuanian, alternative metal, electronic, alternative rock, progressive, pop punk, post-hardcore, trap, lithuania, rap rock"
Crosby,The 25th Anniversary Rock & Roll Hall Of Fame Concerts,"all, reggae, rap"
ELIO,Can You Hear Me Now?,"female vocalist, pop, indie pop"
Avantasia,Ghostlights,"power metal, symphonic metal, melodic metal, heavy metal, hard rock, rock opera, metal opera, metal, symphonic power metal"
Joongle,Butter,"indie pop, downtempo"
Benjamin Clementine,Genesis,"female vocalist, singer-songwriter, piano, soul, chamber pop, male vocalists, british, jazz, avant-garde, london"
Louis The Child,Free (with Drew Love),"electronic, nu disco, future bass, french touch, usa, electro house, american, chicago, nu-disco, electronica"
Emblem3,Nothing To Lose (Deluxe Version),"pop, i, teen, them"
Nija,The Lion King: The Gift,"hip-hop, rap, rnb, afrobeats, usa, american, indian, india, akademi fantasia, nija"
ITZY,GUESS WHO,"itzy, korean, k-pop, kpop, weak"
Toro y Moi,Outer Peace,"funk, alternative rnb, pop, house, rnb, chillwave, electronic, lo-fi, psychedelic"
Tritonal,Safe & Sound,"female vocalist, trance, progressive trance, melodic trance, uplifting trance, electronic, vocal trance, progressive house, tech-trance, american"
Belle and Sebastian,"Fold Your Hands Child, You Walk Like a Peasant","indie pop, indie, belle and sebastian, chamber pop, alternative, female vocalist, twee, scottish"
Noah Cyrus,The Hardest Part,"country, folk, emotional, country pop, folk pop, female vocalist, pop, disney"
Poylow,Airplanes,"electronic, chill, dance, france"
BeatKing,Kings of the Club 2,"hip-hop, hip hop, rap, usa, estados unidos"
Oasis,Be Here Now (Deluxe Remastered Edition),"albums, britpop, rock, british"
Jamila Woods,SULA (Paperback),"female vocalist, soul, rnb, american, neo-soul, alternative rnb, hip-hop, alternative, chicago, neo soul"
Cowboy Junkies,The Trinity Session,"alt-country, female vocalists, cowboy junkies, folk, country"
Billie Holiday,Billie Holiday,"jazz, vocal jazz, blues, jazz vocal, holiday, billie holiday, self-titled"
The Rolling Stones,Exile On Main Street (2010 Re-Mastered),listened to
Ms. Lauryn Hill,Guarding The Gates (From Queen & Slim: The Soundtrack),"female vocalist, soul, rnb, hip-hop, hip hop, neo-soul, rap, american, neo soul, new jersey"
SASAMI,SASAMI,"rock, alternative rock, indie rock, debut album, female vocalist, shoegaze, singer-songwriter"
Memos,Babylon,"new york, house, brooklyn, deep house, memos, nu-disco, serhan aydemir"
Christine and the Queens,Redcar les adorables étoiles (prologue),"art pop, trip-hop, new wave, french pop, dance-pop, experimental pop, chanson francaise, female vocalist, french, pop"
NAMIA,Miss Candy Doll,"power metal, christian metal, metal, melodic metal, heavy metal, christian, swedish, progressive metal, white metal, christian power metal"
Field Medic,grow your hair long if you’re wanting to see something that you can change,"indie folk, lo-fi, indie"
Nappy Roots,Good Day,"hip-hop, rap, dirty south, hip hop, southern rap, kentucky, underground hip-hop, hiphop, southern hip-hop, crunk"
MIA,All I Ever Wanted,"indie, swedish"
Manchester Orchestra,Simple Math,"rock, alternative, electronica, indie, alternative rock, folk, indie rock, hard rock, melancholy"
Holy Pinto,"us, married","indie, british, folk, indie pop, singer-songwriter, pop punk, milwaukee, wisconsin, british accent, sparkle emo"
Mokita,colorblind,"electronic, indie pop, post-hardcore, indie, pop, punk-pop, theo graham-brown, joe scannell, british, grindcore"
VRSTY,Blck Deluxe,"post-hardcore, metalcore, electronic, alternative rock, nyc, rnb, modern rock, post hardcore, us"
Sonny Boy Williamson II,More Real Folk Blues,blues
Beyoncé,BREAK MY SOUL,"renaissance, house, beyonce, renner, beyoncé, larissonce, female vocalist, rnb, pop"
JT Roach,Symmetry,usa
Diners,Brain Song,"indie rock, usa, arizona, rock, surf, indie pop, power pop, dream pop, surf rock"
Rev. Clay Evans,I'm Going Through,"gospel, rev clay evans, gospel black gospel, contemporary gospel, live performance, misc, clergy, all, preacher, traditional gospel"
Vince Staples,Big Fish Theory,"rap, experimental hip hop, hardcore hip hop, hip-hop, electronic, underground hip-hop, gangsta rap, ugly"
Gerry & The Pacemakers,The Very Best Of Gerry & Pacemakers,merseybeat
$uicideboy$,Long Term Effects of SUFFERING,"trap, horrorcore, cloud rap, memphis rap, southern hip hop, southern rap, emo rap, phonk, rare phonk"
Bob Dylan,Self Portrait,"rock, classic rock, folk, folk rock, bob dylan, singer-songwriter, blues, american"
Sarah Jarosz,Build Me Up From Bones,"pop, folk, contemporary folk, americana, alt-country, contemporary bluegrass"
Sech,Sueños,"reggaeton, rap, latin, panama, hip-hop, bulgarian, ete sech, hip hop, rnb, dancehall"
Dwara,Mariana Trench,"female vocalist, finnish, uk, indian, india, united kingdom, finland, b"
The Soundcarriers,Waves,"female vocalist, psychedelic, british, indie, acid folk, jazz, neo-psychedelia, psychedelic pop, psychedelic rock, indie pop"
Jukebox The Ghost,Cheers,piano rock
Macy Gray,Ruby,"female vocalist, soul, rnb"
Boyish,Carnation,"female vocalist, shoegaze, dream pop, indie pop, neo-acoustic, guitar pop, indie, japanese, indie rock, twee pop"
PVRIS,Arcane League of Legends (Soundtrack from the Animated Series),"female vocalist, alternative rock, electronic, rock, alternative, pop punk, pop, pop rock, american, electronic rock"
Emily Watts,La Vie En Rose,"rusty, emily grace watts, emily watts, rusty watts, the shady drive"
Duckwrth,Chrome Bull,"rap, hip-hop, funk, american, trap, indie, united states, hip hop, usa, underground hip-hop"
Doc Watson,The Essential Doc Watson,"bluegrass, country, folk, organic, bittersweet, earthy, old-timey, americana, acoustic, guitar"
Beach Bunny,Emotional Creature,"pop punk, indie pop, indie rock, female vocalists, power pop, pop-punk, emo pop, slacker rock"
Call Me Karizma,Fire Escape,"hip-hop, rap, alternative, alternative rock, rock, minnesota, emo, american, united states"
Belle and Sebastian,The Life Pursuit,"indie, indie pop, favorite albums, favourite albums, female vocalist"
Yung Bae,Wonder (feat. Channel Tres),"future funk, vaporwave, nu disco, electronic, funk, disco, hip-hop, usa, dance, american"
Wynton Marsalis,Standard Time Vol. 3: The Resolution Of Romance,"jazz, trumpet, post-bop, saxophone, jazz piano, my jazz radio"
Rezz,Someone Else,"electronic, canadian, edm, midtempo bass, canada, techno, electro house, tech house, dark techno, dubstep"
Chop Daily,Right by You,"united kingdom, great britain, banku"
Supaman,Illuminatives,"dubstep, mix, dj, native american hip-hop"
The High Kings,The High Kings,"irish folk, celtic, bagpipes, irish, favourite albums, done, the high kings, celtic high kings"
Natalia Lafourcade,De Todas las Flores,"singer-songwriter, chamber folk, jazz, vocal jazz, bolero, female vocalist, pop, alternative"
Capone,Mobbin',"drum and bass, rap, hip-hop, drum n bass, jungle, hip hop, dnb, electronic, chicano rap, queensbridge"
Beach Bunny,Oxygen,"female vocalist, indie rock, indie pop, indie, power pop, pop rock, usa, pop punk, chicago, pop"
Tornado Wallace,Lonely Planet,"house, deep house, disco"
Nu Breed,Hollywood,"house, tribal, country rap"
Claptone,Beautiful,"house, deep house, electronic, nu disco, electronica, disco, tech house, berlin, dance, techno"
Kidsnot$aints.,Daydreamer,"indie pop, new jersey, my top songs"
Wifisfuneral,EV3RYTHING SUCKS,"hip-hop, rap, cloud rap, trap, trillwave, members only, undergrounnd hip-hop, hip hop, soundcloud, soundcloud rap"
Michael Bublé,Michael Bublé,"jazz, swing, easy listening, jazz pop, mickael buble, favorite albums, michael buble, pop, male vocalists, crooner"
Erykah Badu,Baduizm,"soul, neo-soul, erykah badu, female vocalists, neo soul"
Nick Lowe,Untouched Takeaway,"singer-songwriter, power pop, new wave, pub rock, rock, british, pop, roots rock, classic rock"
Derek Minor,Wake Up,"hip-hop, christian rap, gospel, ma, chh"
Zero,Stigma,"female vocalist, rock, post-punk, indian rock, polish, indian, french, dance, hard rock"
Rubblebucket,Cherry Blossom,"female vocalist, indie pop, indie, rock, indie rock, brooklyn, new york, usa, american, pop"
OTM,Off The Mussle (Deluxe),"drum and bass, darkside, hardstep, drumfunk, darkstep, dubstep, lo-fi, germany, techstep, synthpop"
Pat Benatar,Tropico,"new wave, rock, female vocalists, electronic, favorites, female vocalist, classic rock, pop"
The Notorious B.I.G.,Life After Death (2014 Remastered Edition),"rap, gangsta rap, pop rap, hardcore hip-hop, boom bap, east coast hip-hop, hip-hop, east coast rap, hip hop"
Plains,I Walked With You A Ways,"country, indie, alternative, folk, americana, alt-country"
Wilder Maker,Male Models,"pop, indie pop, indie rock"
Wave Chapelle,They Left Me,"trap, hip-hop, rap, hiphop"
Celly Ru,Friendly Fire Gang,"rap, hip-hop, hip hop, gangsta rap, sacramento, california, west coast, cali, gangsta, west coast rap"
Animal Fiction,Oh No!,"indie, indie pop"
Martin Garrix,Don't Look Down (feat. Usher),"house, electronic, dance, electropop, pop, electro house, dutch, progressive house, edm, big room"
Carrie Underwood,Blown Away,"country, country pop, female vocalists, pop, female vocalist, american idol, american"
Briston Maroney,Indiana,"indie rock, singer-songwriter, american, alternative, folk, usa, indie folk, indie pop, guitar, folk rock"
B.o.B,B.o.B Presents: The Adventures of Bobby Ray,"hip-hop, rap, alternative hip hop, male vocalists, usa, hip hop, dirty south, atlanta"
John Denver,"The John Denver Collection, Vol 1: Take Me Home Country Roads","female vocalist, country, folk, singer-songwriter, acoustic, classic rock, john denver, american, oldies"
Peder B. Helland,Bright Future,"instrumental, new age"
Blu & Exile,Miles,"jazz rap, conscious hip hop, turntablism, hardcore hip hop, personal favourite, blu, hip-hop, underground hip-hop, rap"
Belle and Sebastian,Dear Catastrophe Waitress,"indie pop, indie, favorite albums, pop, alternative, female vocalist"
John C. Cale and Nico Nico,Rockin' In The Free World,inne
Sharon Van Etten,Epic,"folk, folk rock, indie, female vocalist, singer-songwriter, acoustic"
RAVENS,Hold On,"doo wop, heavy metal, electronic, indie, hard rock, edm, all, french metal"
Novo Amor,No Fun / Lucky for You,"folk, indie, acoustic, british, indie folk, alternative, welsh, cardiff, indie rock, singer-songwriter"
Carly Rae Jepsen,Beach House,canadian
Laufey,Everything I Know About Love,"vocal jazz, jazz pop, discgetologist, female vocalist, jazz, pop"
Confidence Man,TILT,"female vocalist, pop, australian"
Finom,Fantasize Your Ghost,"rock, indie rock, pop, alternative, indie pop, american, garage rock, garage, chicago"
Luke Sital-Singh,Dressing Like a Stranger,"folk, acoustic, british, singer-songwriter, male vocalists, indie, vocal, male, london"
America,America,"classic rock, folk, soft rock, rock, folk rock, acoustic rock, american, singer-songwriter"
Surfaces,Hidden Youth,"pop, indie, soul, usa, indie pop, american, rnb, progressive deathcore, surf, sunshine pop"
Charley Crockett,The Man from Waco,country
Yo La Tengo,Stuff Like That There,"matador, indie, pop, indie pop, feel good, female vocalist, indie rock, alternative"
Tyrone Wells,Beautiful World,"singer-songwriter, acoustic, folk, soft rock, mellow, indie, pop, alternative, tyrone wells, pop rock"
Harry Styles,Fine Line,"pop, rock, pop rock, soft rock, alternative, british, one direction, harry styles"
Fontaines D.C.,Dogrel,"crank wave, post-punk, spoken word, indie rock, post-brexitcore, post-brexit new wave, irish, indie, rock"
Yeah Yeah Yeahs,Cool It Down,"punk, alternative rock, female vocalists, synth pop, american, female vocalist, indie, indie rock"
Lupe Fiasco,Tetsuo & Youth,"hip hop, rap, conscious hip-hop, pop rap, jazz rap, conscious hip hop, hip-hop, underground hip-hop, chicago"
AnnenMayKantereit,Tom's Diner,"german, indie, rock, deutsch, singer-songwriter, folk, indie rock, indie pop, cologne, favorites"
Jamila Woods,Holy,"female vocalist, soul, rnb, american, neo-soul, alternative rnb, hip-hop, alternative, chicago, neo soul"
Lala Lala,Color of the Pool,"female vocalist, indie, lo-fi, dream pop, indie pop, indie rock, usa, chicago, illinois, alternative"
Rubblebucket,Geometry,"female vocalist, indie pop, indie, rock, indie rock, brooklyn, new york, usa, american, pop"
Clubhouse,Anywhere You Go,"dance, electronic, indie pop, indie, usa, ohio, columbus, weekend"
Sleepy Fish,Away With the Fairies pt. 2,"chillhop, lo-fi, instrumental hip-hop, lofi, hip-hop, electronic, chill, instrumental, downtempo, beats"
Alicia Keys,As I Am (Expanded Edition),"soul, soft rock, blues, rnb, blues rock, female vocalist, pop, singer-songwriter"
Harbor & Home,Dark Days,"usa, my top songs"
Run The Jewels,ooh la la (feat. Greg Nice & DJ Premier),"hip-hop, rap, underground hip-hop, hip hop, underground rap, hardcore hip-hop, experimental hip-hop, hardcore hip hop, american, alternative hip-hop"
Fiona Apple,Rave On Buddy Holly,"female vocalist, singer-songwriter, alternative, piano, indie, rock, pop, female, american, fiona apple"
St. Paul & The Broken Bones,Half The City,"soul, blues, indie, funk, american, rnb, alabama, jazz, rock"
Sufjan Stevens,Fourth of July,"indie, folk, singer-songwriter, alternative, indie rock, indie pop, indie folk, rock, acoustic, american"
Belle and Sebastian,Books,"indie pop, favorite albums, soul, chamber pop, quirky, female vocalist, indie, alternative"
Field Guide,Field Guide,"folk, indie rock, usa, folk rock, indie folk, folk pop"
Chelsea Moon & The Franz Brothers,"Hymn Project, Vol. 2",bluegrass
EC Twins,Smooth Operator,"chillout, electronic, electronica, sexy, downtempo, usa, techno, house, electro house, idm"
Sixpence None The Richer,Mega 3: Sixpence None The Richer,"pop, rock, alternative rock"
Maddison,Fire,"rock, alternative rock, modern rock"
Imaginary Future,Across the Universe,"female vocalist, indie, guitar, finnish, alternative, folk, singer-songwriter, acoustic, male vocalists, suomalaiset"
Sultan + Shepard,Walls,"canadian, trance, house, electronic, canada, progressive house, dnb, jewish, palestinian, melodic house"
Samuel Jack,Feels Like Summer,"soul, singer-songwriter, uk pop, male soul vocalists"
Tove Lo,2 Die 4,"female vocalist, pop, swedish, electronic, indie, electropop, indie pop, synthpop, sweden, world music"
G Herbo,25,"urban, death, gangsta rap, trap, male vocals, pop rap, rap, hip-hop, hip hop"
Andrew Spacey,Rear View,"rap, trap, pop rap, fantasy trap"
Corey Harper,Better,"pop, acoustic, american"
Neck Deep,The Peace And The Panic,"pop punk, punk rock, rock, punk, alternative rock, hardcore, pop rock, hopeless"
Tobe Nwigwe,CINCORIGINALS,"rap, hip-hop, hip hop, texas, american, trap, nigerian, christian hip hop, southern hip-hop, houston rap"
Paul Cardall,The Hymns Collection (2 Disc Set),"piano, lds hymns"
VIXX,Shangri-La,"pop, asian, k-pop, male vocalists, boyband, kpop, dance, korea"
Chance the Rapper,Coloring Book,"hip hop, rap, hip-hop, gospel, soul, chicago, underground hip-hop, american"
Shawn David,Thorns,country rock
Porridge Radio,"Waterslide, Diving Board, Ladder To The Sky","crank wave, post-punk, art punk, indie rock, post-brexit new wave, indie pop, great albums"
BENEE,FIRE ON MARZZ,"indie, pop, indie pop, new zealand, kiwi, aotearoa, new zealander, kiwi pop"
Wild Pink,The Grass Widow In The Glass Window,"indie rock, indie, new york, american, pop, rock, alternative, indie pop, usa, americana"
Jess Glynne,Hold My Hand,"female vocalist, pop, british, electropop, united kingdom, dance, electronic, soul, dance-pop, english"
Troy Cartwright,Hung Up On You,"country, country pop, modern country pop"
LANY,mama's boy,"indie, indie pop"
Wave Chapelle,W,"trap, hip-hop, rap, hiphop"
Doja Cat,Purrr!,"downtempo, calm, psychedelic, mellow, female vocals, female vocalist, pop, rnb"
Hayley Westenra,Hushabye (Deluxe),"favourite albums, nice spending time, female vocalist, classical, new age"
Fitz and The Tantrums,Let Yourself Free,"soul, pop, indie"
Paul McCartney,Ram (Archive Collection),"indie, pop, rock, country, folk, indie pop, pop rock, classic rock, british, singer-songwriter"
ReoNa,unknown,"anime, j-rock, j-pop rock, anime rock, j-pixie"
